,Compound,Date,Negative,Network,Neutral,Positive,Tweet Text,Tweets Ago
95,-0.8008,Sun Mar 04 15:03:39 +0000 2018,0.218,@FoxNews,0.728,0.055,".@SecretaryRoss: ""What @POTUS was saying was that because we have a big deficit and the other sides have big gains from trade, they have much more to lose in a trade war than we do."" #SundayFutures @MariaBartiromo https://t.co/SsJG7dSHWd",96
96,0.836,Sun Mar 04 14:57:13 +0000 2018,0.0,@FoxNews,0.774,0.226,".@MariaBartiromo: ""The U.S. has been behind the curve in terms of free and fair trade for a long time, and @POTUS promised that he was going to level the playing field and that's exactly what this does."" https://t.co/iMVB1jihOn https://t.co/XFO79K9QXc",97
97,0.0,Sun Mar 04 14:49:23 +0000 2018,0.0,@FoxNews,1.0,0.0,"COMING UP on @SundayFutures, @MariaBartiromo talks to @TGowdySC - Tune in at 10a ET on Fox News Channel! https://t.co/rCSiu3nVEU",98
98,0.431,Sun Mar 04 14:36:02 +0000 2018,0.0,@FoxNews,0.794,0.206,"'President for life' not a bad idea, Trump says of China proposal https://t.co/IFszUT5j8r",99
99,-0.2263,Sun Mar 04 14:27:42 +0000 2018,0.125,@FoxNews,0.784,0.09,"RT @FoxNewsSunday: On #tariffs, @BizRoundtable CEO &amp; President Josh Bolten says this will cause huge damage across broad sectors of the eco…",100
100,0.0,Sun Mar 04 22:47:49 +0000 2018,0.0,@BBCWorld,1.0,0.0,China enforces 'holidays' onto dissidents of the state https://t.co/qYa4lsWsO6,1
101,0.0,Sun Mar 04 22:12:10 +0000 2018,0.0,@BBCWorld,1.0,0.0,IS video 'shows deaths of US soldiers in Niger ambush' https://t.co/ejffGEPY8J,2
102,0.0,Sun Mar 04 21:12:36 +0000 2018,0.0,@BBCWorld,1.0,0.0,Catalonia Spain: Pro-unity marchers parody secessionists https://t.co/GFaU2JEWvC,3
103,0.0516,Sun Mar 04 21:04:09 +0000 2018,0.254,@BBCWorld,0.476,0.27,Jailed school shooter praises Florida student activists https://t.co/P1QSGZ5XPQ,4
104,-0.6597,Sun Mar 04 20:24:57 +0000 2018,0.423,@BBCWorld,0.577,0.0,Slovakia's leaders clash over journalist's killing https://t.co/FijMH4W7vg,5
105,0.3612,Sun Mar 04 18:08:56 +0000 2018,0.0,@BBCWorld,0.889,0.111,RT @BBCSteveR: Russia's presidential election looks like a show staged by the Kremlin. I've raided the toy box to explain why. https://t.co…,6
106,-0.6249,Sun Mar 04 17:29:06 +0000 2018,0.313,@BBCWorld,0.687,0.0,South Africa listeria: Source of 'world's worst outbreak' found https://t.co/dQcLE3igN7,7
107,-0.4753,Sun Mar 04 17:18:03 +0000 2018,0.134,@BBCWorld,0.866,0.0,"RT @BBCSport: Leo Messi's 600th professional goal is a big one!

Barcelona have beaten their nearest rivals, Atletico Madrid 1-0

Eight poi…",8
108,0.4215,Sun Mar 04 16:43:37 +0000 2018,0.0,@BBCWorld,0.872,0.128,Watch this baby chimp being flown to a new home in DR Congo after it was rescued from poachers ??? https://t.co/mZfGI8h6Gc,9
109,0.4588,Sun Mar 04 15:48:47 +0000 2018,0.0,@BBCWorld,0.9,0.1,"What can we expect from the 90th Academy Awards? A lot has changed since last year. 

Here are eight reasons why the 2018 #Oscars will be different 

https://t.co/aeMgnsLONF https://t.co/SMu8N95n4w",10
110,-0.1531,Sun Mar 04 15:10:57 +0000 2018,0.167,@BBCWorld,0.833,0.0,China official in hospital after catching falling girl https://t.co/qAcfPNaiMB,11
111,0.4215,Sun Mar 04 14:17:10 +0000 2018,0.0,@BBCWorld,0.714,0.286,Baby chimp rescued from poachers in Africa https://t.co/MJbgUKpSWT,12
112,0.0,Sun Mar 04 13:49:46 +0000 2018,0.0,@BBCWorld,1.0,0.0,Sir Roger Bannister: First person to run a mile in under four minutes dies at 88 https://t.co/x4N4Lqajva,13
113,-0.4019,Sun Mar 04 13:35:35 +0000 2018,0.252,@BBCWorld,0.748,0.0,Switzerland TV licence: Voters set to reject abolition https://t.co/toPC8hg2KP,14
114,-0.5994,Sun Mar 04 12:58:57 +0000 2018,0.302,@BBCWorld,0.698,0.0,Trump trade war: China vows retaliation if tariffs bite https://t.co/LPfJQFdSDh,15
115,0.2023,Sun Mar 04 12:52:03 +0000 2018,0.0,@BBCWorld,0.847,0.153,Papua New Guinea earthquake: Tens of thousands need urgent aid https://t.co/gCLIxjEmDT,16
